,Unnamed: 0.1,Unnamed: 0,simulation_dir,initial_pressure_points,mof_cif_name,cut_off,base_template_path,force_field,nunber_of_cycles,nunber_of_initial_cycles,adsorbate,temperature,molecule_definition,translation_probability,reinsertion_probability,swap_probability,raspa_dir,description
0,4780,9700,/home/dydtkddhkdwk/PYRASPA/Quick_Fitting_Algorithm/simulations/1006RE02,"[50000, 150000]",[CoreMOF]GOSRIP_clean.cif,12.5,/home/dydtkddhkdwk/PYRASPA/Quick_Fitting_Algorithm/base_templates/base_template_gcmc1005.txt,NayeonFollowup,12000,5000,N2,293.15,ExampleDefinitions,0.5,0.5,1,/home/dydtkddhkdwk/RASPA2,10??06??10??58ë¶?
1,3639,5733,/home/dydtkddhkdwk/PYRASPA/Quick_Fitting_Algorithm/simulations/1006RE02,"[50000, 150000]",[CoreMOF]MABKEG_clean.cif,12.5,/home/dydtkddhkdwk/PYRASPA/Quick_Fitting_Algorithm/base_templates/base_template_gcmc1005.txt,NayeonFollowup,12000,5000,N2,293.15,ExampleDefinitions,0.5,0.5,1,/home/dydtkddhkdwk/RASPA2,10??06??10??58ë¶?
2,11450,6685,/home/dydtkddhkdwk/PYRASPA/Quick_Fitting_Algorithm/simulations/1006RE02,"[50000, 150000]",[CoreMOF]QONLAI_clean.cif,12.5,/home/dydtkddhkdwk/PYRASPA/Quick_Fitting_Algorithm/base_templates/base_template_gcmc1005.txt,NayeonFollowup,12000,5000,N2,293.15,ExampleDefinitions,0.5,0.5,1,/home/dydtkddhkdwk/RASPA2,10??06??10??58ë¶?
3,4904,2491,/home/dydtkddhkdwk/PYRASPA/Quick_Fitting_Algorithm/simulations/1006RE02,"[50000, 150000]",[CoreMOF]HOJPAZ_clean.cif,12.5,/home/dydtkddhkdwk/PYRASPA/Quick_Fitting_Algorithm/base_templates/base_template_gcmc1005.txt,NayeonFollowup,12000,5000,N2,293.15,ExampleDefinitions,0.5,0.5,1,/home/dydtkddhkdwk/RASPA2,10??06??10??58ë¶?
4,7518,1141,/home/dydtkddhkdwk/PYRASPA/Quick_Fitting_Algorithm/simulations/1006RE02,"[50000, 150000]",[CoreMOF]ZEZQIG_clean.cif,12.5,/home/dydtkddhkdwk/PYRASPA/Quick_Fitting_Algorithm/base_templates/base_template_gcmc1005.txt,NayeonFollowup,12000,5000,N2,293.15,ExampleDefinitions,0.5,0.5,1,/home/dydtkddhkdwk/RASPA2,10??06??10??58ë¶?
5,11430,10989,/home/dydtkddhkdwk/PYRASPA/Quick_Fitting_Algorithm/simulations/1006RE02,"[50000, 150000]",[CoreMOF]ZETLER_clean.cif,12.5,/home/dydtkddhkdwk/PYRASPA/Quick_Fitting_Algorithm/base_templates/base_template_gcmc1005.txt,NayeonFollowup,12000,5000,N2,293.15,ExampleDefinitions,0.5,0.5,1,/home/dydtkddhkdwk/RASPA2,10??06??10??58ë¶?
6,2194,990,/home/dydtkddhkdwk/PYRASPA/Quick_Fitting_Algorithm/simulations/1006RE02,"[50000, 150000]",[CoreMOF]cm503311x_alf290K_clean.cif,12.5,/home/dydtkddhkdwk/PYRASPA/Quick_Fitting_Algorithm/base_templates/base_template_gcmc1005.txt,NayeonFollowup,12000,5000,N2,293.15,ExampleDefinitions,0.5,0.5,1,/home/dydtkddhkdwk/RASPA2,10??06??10??58ë¶?
7,3651,7865,/home/dydtkddhkdwk/PYRASPA/Quick_Fitting_Algorithm/simulations/1006RE02,"[50000, 150000]",[CoreMOF]DOJXUW_clean.cif,12.5,/home/dydtkddhkdwk/PYRASPA/Quick_Fitting_Algorithm/base_templates/base_template_gcmc1005.txt,NayeonFollowup,12000,5000,N2,293.15,ExampleDefinitions,0.5,0.5,1,/home/dydtkddhkdwk/RASPA2,10??06??10??58ë¶?
8,5389,10302,/home/dydtkddhkdwk/PYRASPA/Quick_Fitting_Algorithm/simulations/1006RE02,"[50000, 150000]",[CoreMOF]SEFWEH_clean.cif,12.5,/home/dydtkddhkdwk/PYRASPA/Quick_Fitting_Algorithm/base_templates/base_template_gcmc1005.txt,NayeonFollowup,12000,5000,N2,293.15,ExampleDefinitions,0.5,0.5,1,/home/dydtkddhkdwk/RASPA2,10??06??10??58ë¶?
9,5607,6342,/home/dydtkddhkdwk/PYRASPA/Quick_Fitting_Algorithm/simulations/1006RE02,"[50000, 150000]",[CoreMOF]CAZGIT_clean.cif,12.5,/home/dydtkddhkdwk/PYRASPA/Quick_Fitting_Algorithm/base_templates/base_template_gcmc1005.txt,NayeonFollowup,12000,5000,N2,293.15,ExampleDefinitions,0.5,0.5,1,/home/dydtkddhkdwk/RASPA2,10??06??10??58ë¶?
